	station_id	stationname	date	rides	y
135323	40850	Library	11/05/2001	2930	2001
135327	41090	Monroe/State	08/04/2001	2876	2001
135342	40780	Central Park	05/02/2001	446	2001
135366	40020	Harlem-Lake	07/22/2001	1078	2001
135394	41380	Bryn Mawr	07/16/2001	4419	2001
135401	41160	Clinton-Lake	08/09/2001	1837	2001
135437	41220	Fullerton	08/05/2001	3779	2001
135453	41500	Montrose-Brown	10/30/2001	2116	2001
135464	41330	Montrose-O'Hare	04/11/2001	1991	2001
135484	41490	Harrison	04/01/2001	1702	2001
135493	41060	Ashland-Orange	12/08/2001	648	2001
135504	41050	Linden	11/24/2001	574	2001
135512	41380	Bryn Mawr	11/24/2001	2506	2001
135514	40940	Halsted/63rd	04/25/2001	766	2001
135522	40850	Library	09/02/2001	492	2001
135569	41360	California-Lake	05/09/2001	949	2001
135573	40480	Cicero-Lake	03/17/2001	731	2001
135604	40140	Skokie	02/20/2001	2651	2001
135653	40820	Rosemont	02/25/2001	1604	2001
135662	40050	Davis	11/19/2001	3725	2001
135678	41000	Cermak-Chinatown	02/15/2001	2718	2001
135683	40330	Grand/State	01/08/2001	8221	2001
135758	41250	Central-Evanston	03/18/2001	287	2001
135768	40190	Sox-35th-Dan Ryan	12/12/2001	3571	2001
135771	40160	LaSalle/Van Buren	02/02/2001	3559	2001
135796	40120	35th/Archer	02/23/2001	2134	2001
135797	40170	Ashland-Lake	09/28/2001	1595	2001
135821	40650	North/Clybourn	10/01/2001	3796	2001
135833	40360	Southport	03/02/2001	2786	2001
135835	41460	Irving Park-Brown	05/22/2001	2527	2001
135837	40440	California-Cermak	02/25/2001	0	2001
135950	41020	Logan Square	04/19/2001	4678	2001
135958	40140	Skokie	10/26/2001	2587	2001
135967	40890	O'Hare Airport	05/18/2001	10738	2001
135977	40680	Adams/Wabash	08/10/2001	6838	2001
135984	41330	Montrose-O'Hare	06/05/2001	1957	2001
135987	40300	Indiana	06/20/2001	612	2001
136002	40680	Adams/Wabash	04/09/2001	7630	2001
136005	41230	47th-Dan Ryan	02/16/2001	2624	2001
136031	41060	Ashland-Orange	01/02/2001	988	2001
136038	40440	California-Cermak	01/22/2001	832	2001
136058	40900	Howard	12/13/2001	6044	2001
136060	41480	Western-Brown	12/08/2001	2014	2001
136092	40030	Pulaski-Lake	03/29/2001	1564	2001
136107	41130	Halsted-Orange	04/25/2001	2499	2001
136136	40130	51st	06/17/2001	518	2001
136156	40540	Wilson	02/21/2001	5630	2001
136157	40710	Chicago/Franklin	03/29/2001	4034	2001
136158	41270	43rd	11/30/2001	843	2001
136168	41220	Fullerton	02/05/2001	10367	2001
136185	40840	South Boulevard	08/17/2001	835	2001
136188	41250	Central-Evanston	07/20/2001	1004	2001
136220	40500	Washington/State	11/02/2001	7851	2001
136238	40800	Sedgwick	12/23/2001	521	2001
136320	40590	Damen/Milwaukee	05/09/2001	4373	2001
136330	41440	Addison-Brown	03/22/2001	1865	2001
136344	40980	Harlem-Forest Park	01/30/2001	799	2001
136346	40600	Kostner	06/19/2001	310	2001
136400	41440	Addison-Brown	04/05/2001	1821	2001
136438	40510	Garfield-South Elevated	08/03/2001	968	2001
136445	40210	Damen-Cermak	05/23/2001	717	2001
136457	40390	Forest Park	09/19/2001	3825	2001
136483	40020	Harlem-Lake	02/22/2001	3246	2001
136492	40270	Main	10/01/2001	1255	2001
136506	40190	Sox-35th-Dan Ryan	01/16/2001	3758	2001
136514	40420	Cicero-Cermak	01/07/2001	0	2001
136528	41130	Halsted-Orange	03/31/2001	782	2001
136547	40880	Thorndale	02/07/2001	3222	2001
136568	40770	Lawrence	07/18/2001	2550	2001
136605	41180	Kedzie-Brown	04/29/2001	656	2001
136609	40810	Medical Center	03/14/2001	2211	2001
136661	40310	Western-Orange	12/18/2001	3346	2001
136668	40570	California/Milwaukee	06/26/2001	2933	2001
136692	40660	Armitage	12/05/2001	3565	2001
136703	40360	Southport	05/27/2001	625	2001
136704	41360	California-Lake	04/10/2001	898	2001
136709	40990	69th	10/14/2001	3164	2001
136767	40160	LaSalle/Van Buren	08/25/2001	272	2001
136802	40030	Pulaski-Lake	02/18/2001	605	2001
136848	40930	Midway Airport	02/10/2001	2570	2001
