	station_id	stationname	date	rides	y
135325	41210	Wellington	01/27/2002	468	2002
135341	41220	Fullerton	12/28/2002	3442	2002
135373	41480	Western-Brown	05/22/2002	3348	2002
135384	40030	Pulaski-Lake	09/14/2002	844	2002
135420	41050	Linden	03/13/2002	1083	2002
135429	40520	Foster	05/17/2002	718	2002
135440	41170	Garfield-Dan Ryan	09/27/2002	4433	2002
135477	41000	Cermak-Chinatown	04/24/2002	2933	2002
135483	41050	Linden	03/07/2002	1062	2002
135489	41320	Belmont-North Main	11/28/2002	2741	2002
135496	40870	Francisco	12/20/2002	1049	2002
135500	41060	Ashland-Orange	07/13/2002	705	2002
135516	41500	Montrose-Brown	12/15/2002	636	2002
135518	40730	Washington/Wells	06/29/2002	795	2002
135533	41080	47th-South Elevated	04/08/2002	1045	2002
135541	41250	Central-Evanston	05/24/2002	889	2002
135562	40290	Ashland/63rd	12/07/2002	951	2002
135565	40150	Pulaski-Cermak	03/04/2002	342	2002
135570	40890	O'Hare Airport	12/29/2002	8445	2002
135591	40560	Jackson/State	08/15/2002	12218	2002
135611	40250	Kedzie-Homan-Forest Park	05/27/2002	783	2002
135625	40550	Irving Park-O'Hare	02/21/2002	3558	2002
135638	40570	California/Milwaukee	12/24/2002	1658	2002
135650	41430	87th	11/07/2002	5844	2002
135680	41340	LaSalle	12/09/2002	2372	2002
135689	41430	87th	06/17/2002	5234	2002
135693	40730	Washington/Wells	09/25/2002	7268	2002
135698	40850	Library	04/23/2002	2731	2002
135700	41250	Central-Evanston	02/28/2002	878	2002
135746	40960	Pulaski-Orange	03/29/2002	3266	2002
135783	41450	Chicago/State	11/22/2002	15251	2002
135788	40910	63rd-Dan Ryan	06/27/2002	3351	2002
135807	40800	Sedgwick	05/31/2002	2777	2002
135816	40720	East 63rd-Cottage Grove	07/08/2002	1430	2002
135826	40720	East 63rd-Cottage Grove	06/28/2002	1473	2002
135831	40340	Berwyn	07/29/2002	3269	2002
135862	40900	Howard	12/04/2002	5964	2002
135863	40600	Kostner	05/25/2002	2	2002
135871	41320	Belmont-North Main	03/29/2002	8744	2002
135902	40070	Jackson/Dearborn	03/11/2002	7234	2002
135910	41290	Kimball	04/27/2002	2142	2002
135922	41090	Monroe/State	10/07/2002	6892	2002
135924	40220	Western-Forest Park	02/04/2002	1008	2002
135945	41350	Oak Park-Lake	07/14/2002	536	2002
135972	40900	Howard	12/05/2002	5962	2002
135992	40900	Howard	02/12/2002	5384	2002
135997	41050	Linden	05/01/2002	1142	2002
136034	40350	UIC-Halsted	06/25/2002	3506	2002
136041	40820	Rosemont	03/25/2002	4152	2002
136053	41490	Harrison	02/16/2002	1813	2002
136072	40540	Wilson	06/08/2002	3369	2002
136098	40090	Damen-Brown	09/25/2002	2152	2002
136112	41340	LaSalle	01/08/2002	2492	2002
136116	41450	Chicago/State	12/12/2002	14957	2002
136120	41670	Conservatory	01/20/2002	275	2002
136134	41360	California-Lake	04/07/2002	281	2002
136170	40180	Oak Park-Forest Park	08/30/2002	1462	2002
136175	40130	51st	03/03/2002	371	2002
136194	40800	Sedgwick	02/19/2002	2538	2002
136233	40100	Morse	11/17/2002	2242	2002
136262	40280	Central-Lake	05/29/2002	2301	2002
136279	40790	Monroe/Dearborn	11/10/2002	877	2002
136283	41220	Fullerton	04/08/2002	10649	2002
136294	41230	47th-Dan Ryan	07/07/2002	1592	2002
136303	40970	Cicero-Forest Park	07/30/2002	1102	2002
136306	40760	Granville	08/11/2002	1907	2002
136354	40800	Sedgwick	02/27/2002	2587	2002
136356	41480	Western-Brown	02/26/2002	3346	2002
136365	40880	Thorndale	02/16/2002	1937	2002
136367	40560	Jackson/State	08/05/2002	11254	2002
136385	41130	Halsted-Orange	10/23/2002	2589	2002
136390	40590	Damen/Milwaukee	10/18/2002	4760	2002
136450	41120	35-Bronzeville-IIT	04/20/2002	990	2002
136454	41080	47th-South Elevated	06/12/2002	1066	2002
136465	40030	Pulaski-Lake	06/11/2002	1383	2002
136491	41310	Paulina	06/06/2002	2160	2002
136505	40540	Wilson	03/15/2002	4860	2002
136511	41250	Central-Evanston	03/04/2002	817	2002
136519	40540	Wilson	10/26/2002	3628	2002
136550	40760	Granville	08/12/2002	3144	2002
136551	41090	Monroe/State	01/20/2002	1504	2002
136554	41030	Polk	09/16/2002	2967	2002
136557	41380	Bryn Mawr	04/15/2002	4386	2002
136576	41340	LaSalle	07/20/2002	497	2002
136585	40580	54th/Cermak	02/05/2002	1550	2002
136588	41220	Fullerton	01/08/2002	11604	2002
136599	40650	North/Clybourn	01/13/2002	2075	2002
136624	40330	Grand/State	05/08/2002	9386	2002
136632	40760	Granville	06/03/2002	3290	2002
136641	40010	Austin-Forest Park	09/13/2002	1872	2002
136642	40280	Central-Lake	02/23/2002	1403	2002
136644	40170	Ashland-Lake	11/09/2002	685	2002
136652	40600	Kostner	06/18/2002	263	2002
136688	41460	Irving Park-Brown	12/22/2002	613	2002
136689	40650	North/Clybourn	06/22/2002	3150	2002
136691	40710	Chicago/Franklin	02/03/2002	729	2002
136716	41320	Belmont-North Main	06/21/2002	11038	2002
136736	41060	Ashland-Orange	09/19/2002	1463	2002
136756	40200	Randolph/Wabash	09/09/2002	5953	2002
136770	40660	Armitage	10/05/2002	1677	2002
136793	40300	Indiana	02/28/2002	645	2002
136794	40630	Clark/Division	10/08/2002	7252	2002
136801	40450	95th/Dan Ryan	01/21/2002	8278	2002
136820	40650	North/Clybourn	10/13/2002	3264	2002
136888	40610	Ridgeland	09/22/2002	229	2002
136900	40580	54th/Cermak	12/01/2002	0	2002
136911	41480	Western-Brown	10/01/2002	3530	2002
136953	41220	Fullerton	08/10/2002	5378	2002
136961	40360	Southport	08/23/2002	2455	2002
136975	40500	Washington/State	03/24/2002	1596	2002
137019	41130	Halsted-Orange	05/12/2002	410	2002
137024	41070	Kedzie-Lake	02/08/2002	1322	2002
137039	41670	Conservatory	04/06/2002	781	2002
137049	40680	Adams/Wabash	11/30/2002	2049	2002
137052	40150	Pulaski-Cermak	02/03/2002	0	2002
137068	40750	Harlem-O'Hare	04/07/2002	651	2002
137094	41180	Kedzie-Brown	07/14/2002	824	2002
137131	40370	Washington/Dearborn	08/06/2002	9590	2002
137132	41170	Garfield-Dan Ryan	12/14/2002	2935	2002
137148	41200	Argyle	04/21/2002	1434	2002
137149	40520	Foster	10/25/2002	788	2002
137164	40900	Howard	06/28/2002	6341	2002
137169	41320	Belmont-North Main	10/01/2002	10118	2002
137210	40520	Foster	04/14/2002	267	2002
137214	40190	Sox-35th-Dan Ryan	05/22/2002	4040	2002
137234	40230	Cumberland	07/23/2002	5325	2002
137249	40050	Davis	06/09/2002	1551	2002
137280	40840	South Boulevard	11/10/2002	261	2002
137283	40980	Harlem-Forest Park	03/18/2002	761	2002
137324	41300	Loyola	09/26/2002	6109	2002
137347	40260	State/Lake	03/22/2002	7845	2002
137426	41010	Rockwell	01/29/2002	1432	2002
137438	40710	Chicago/Franklin	10/17/2002	4192	2002
137448	40260	State/Lake	10/22/2002	9327	2002
137449	40250	Kedzie-Homan-Forest Park	03/13/2002	1576	2002
137450	41050	Linden	11/22/2002	1042	2002
137469	40230	Cumberland	09/02/2002	1472	2002
137471	40210	Damen-Cermak	08/24/2002	0	2002
137479	41010	Rockwell	12/03/2002	1408	2002
137520	40460	Merchandise Mart	12/13/2002	4906	2002
137524	41380	Bryn Mawr	10/28/2002	4534	2002
137548	40560	Jackson/State	10/07/2002	14784	2002
137563	40290	Ashland/63rd	02/08/2002	1830	2002
137592	40020	Harlem-Lake	05/08/2002	3217	2002
137602	41160	Clinton-Lake	11/11/2002	1504	2002
137612	40730	Washington/Wells	07/24/2002	7403	2002
137646	41660	Lake/State	12/06/2002	14058	2002
137652	40360	Southport	03/03/2002	534	2002
137658	40940	Halsted/63rd	12/27/2002	563	2002
137695	40190	Sox-35th-Dan Ryan	12/22/2002	982	2002
137712	40450	95th/Dan Ryan	09/26/2002	15423	2002
137739	40150	Pulaski-Cermak	06/09/2002	0	2002
137757	41670	Conservatory	11/10/2002	222	2002
137776	40850	Library	06/25/2002	2275	2002
137787	40680	Adams/Wabash	01/31/2002	7295	2002
137791	40040	Quincy/Wells	09/28/2002	1278	2002
137813	41130	Halsted-Orange	09/13/2002	2539	2002
137836	40640	Madison/Wabash	05/20/2002	4065	2002
137877	41250	Central-Evanston	09/01/2002	295	2002
137882	40370	Washington/Dearborn	10/18/2002	9937	2002
137886	41010	Rockwell	04/13/2002	631	2002
137893	41230	47th-Dan Ryan	07/15/2002	2971	2002
137953	41350	Oak Park-Lake	08/23/2002	1350	2002
137960	40960	Pulaski-Orange	12/08/2002	969	2002
137962	41250	Central-Evanston	08/11/2002	240	2002
137973	41120	35-Bronzeville-IIT	06/08/2002	1011	2002
137978	41440	Addison-Brown	11/29/2002	874	2002
137979	41140	King Drive	08/29/2002	602	2002
138004	41290	Kimball	10/09/2002	4201	2002
138034	40840	South Boulevard	05/16/2002	746	2002
138049	40450	95th/Dan Ryan	10/10/2002	15845	2002
138073	40590	Damen/Milwaukee	09/27/2002	4635	2002
138075	41670	Conservatory	11/29/2002	383	2002
138134	41240	Addison-O'Hare	01/10/2002	2510	2002
138144	40240	79th	12/26/2002	5994	2002
138169	40530	Diversey	03/29/2002	3456	2002
138189	41420	Addison-North Main	11/16/2002	4076	2002
138190	40650	North/Clybourn	09/26/2002	4018	2002
138215	40460	Merchandise Mart	02/04/2002	6022	2002
138260	40420	Cicero-Cermak	08/10/2002	12	2002
138285	40740	Western-Cermak	12/03/2002	601	2002
138288	40800	Sedgwick	11/11/2002	2042	2002
138290	40360	Southport	09/12/2002	2799	2002
138322	40010	Austin-Forest Park	11/21/2002	1743	2002
138343	41080	47th-South Elevated	11/03/2002	503	2002
138363	40320	Division/Milwaukee	07/19/2002	4093	2002
138368	41020	Logan Square	10/30/2002	4946	2002
138371	40830	18th	06/24/2002	1035	2002
138384	41400	Roosevelt	09/14/2002	4449	2002
138386	41290	Kimball	05/21/2002	4000	2002
138480	40890	O'Hare Airport	04/08/2002	7915	2002
138492	40740	Western-Cermak	10/09/2002	555	2002
138505	40790	Monroe/Dearborn	12/25/2002	142	2002
138551	41120	35-Bronzeville-IIT	03/16/2002	1201	2002
138558	40390	Forest Park	12/31/2002	3055	2002
138590	40220	Western-Forest Park	07/13/2002	735	2002
138669	40080	Sheridan	10/17/2002	4946	2002
138672	40340	Berwyn	10/27/2002	1913	2002
138689	41300	Loyola	06/03/2002	4598	2002
138714	41130	Halsted-Orange	09/03/2002	2571	2002
138718	40210	Damen-Cermak	02/12/2002	611	2002
138746	40090	Damen-Brown	01/23/2002	2059	2002
138820	41050	Linden	08/03/2002	1160	2002
138823	41250	Central-Evanston	05/30/2002	982	2002
138826	41150	Kedzie-Midway	02/22/2002	2912	2002
138831	40900	Howard	10/23/2002	6027	2002
138843	41290	Kimball	02/19/2002	3865	2002
138906	41140	King Drive	06/06/2002	651	2002
138920	40050	Davis	03/08/2002	3776	2002
138935	40790	Monroe/Dearborn	11/06/2002	6038	2002
138939	41170	Garfield-Dan Ryan	10/27/2002	2040	2002
138943	40800	Sedgwick	05/24/2002	2432	2002
139019	41140	King Drive	06/19/2002	655	2002
139036	40370	Washington/Dearborn	11/11/2002	6799	2002
139055	41200	Argyle	07/03/2002	3153	2002
139113	40680	Adams/Wabash	07/06/2002	7062	2002
139116	40240	79th	12/22/2002	3781	2002
139153	41090	Monroe/State	06/15/2002	3274	2002
139157	41400	Roosevelt	08/26/2002	5837	2002
139257	40270	Main	07/22/2002	1204	2002
139299	40580	54th/Cermak	04/10/2002	1390	2002
139307	40010	Austin-Forest Park	04/10/2002	1635	2002
139309	41310	Paulina	05/25/2002	830	2002
139319	40690	Dempster	11/02/2002	599	2002
139333	40690	Dempster	12/27/2002	528	2002
139334	40370	Washington/Dearborn	12/05/2002	9887	2002
139335	41670	Conservatory	10/06/2002	432	2002
139350	40400	Noyes	07/31/2002	680	2002
139352	40060	Belmont-O'Hare	04/04/2002	4285	2002
139387	41130	Halsted-Orange	12/13/2002	2319	2002
139392	41190	Jarvis	05/08/2002	1500	2002
139399	40990	69th	01/24/2002	6847	2002
139400	41220	Fullerton	07/14/2002	4491	2002
139407	40880	Thorndale	04/26/2002	3151	2002
139436	41420	Addison-North Main	08/19/2002	5019	2002
139449	40800	Sedgwick	04/30/2002	2640	2002
139456	41310	Paulina	02/27/2002	2104	2002
139463	41420	Addison-North Main	09/13/2002	6499	2002
139466	40450	95th/Dan Ryan	12/25/2002	3942	2002
139471	40260	State/Lake	08/29/2002	7125	2002
139480	40170	Ashland-Lake	09/17/2002	1597	2002
139488	40300	Indiana	10/30/2002	673	2002
139505	40360	Southport	06/16/2002	765	2002
