	station_id	stationname	date	rides	y
135320	40610	Ridgeland	11/16/2012	1435	2012
135333	40360	Southport	12/10/2012	3078	2012
135353	41420	Addison-North Main	09/14/2012	12825	2012
135389	41010	Rockwell	08/29/2012	1731	2012
135426	40100	Morse	03/19/2012	4475	2012
135441	40130	51st	02/15/2012	1205	2012
135445	40660	Armitage	12/12/2012	4548	2012
135448	40490	Grand/Milwaukee	02/04/2012	1082	2012
135478	40090	Damen-Brown	06/09/2012	1877	2012
135479	41130	Halsted-Orange	09/10/2012	3140	2012
135495	41660	Lake/State	12/05/2012	19173	2012
135515	41500	Montrose-Brown	08/04/2012	1912	2012
135534	40710	Chicago/Franklin	05/17/2012	6900	2012
135555	41300	Loyola	04/06/2012	4502	2012
135556	40090	Damen-Brown	09/18/2012	2552	2012
135574	41160	Clinton-Lake	02/08/2012	4481	2012
135578	40440	California-Cermak	11/08/2012	1525	2012
135598	40590	Damen/Milwaukee	06/01/2012	7067	2012
135606	41000	Cermak-Chinatown	09/03/2012	4057	2012
135609	40710	Chicago/Franklin	03/14/2012	6583	2012
135632	40460	Merchandise Mart	02/28/2012	7138	2012
135633	40780	Central Park	04/12/2012	1226	2012
135654	40350	UIC-Halsted	07/27/2012	3804	2012
135665	40790	Monroe/Dearborn	09/18/2012	7423	2012
135668	40850	Library	09/19/2012	5357	2012
135708	41320	Belmont-North Main	01/05/2012	12065	2012
135719	41020	Logan Square	05/29/2012	6240	2012
135745	40920	Pulaski-Forest Park	09/03/2012	1403	2012
135752	41130	Halsted-Orange	08/20/2012	2523	2012
135813	40930	Midway Airport	06/26/2012	9336	2012
135829	41400	Roosevelt	02/10/2012	11383	2012
135843	41230	47th-Dan Ryan	12/31/2012	2303	2012
135844	40900	Howard	06/15/2012	6734	2012
135846	40130	51st	09/27/2012	1281	2012
135888	41000	Cermak-Chinatown	04/13/2012	5258	2012
135899	41030	Polk	09/15/2012	1035	2012
135903	41330	Montrose-O'Hare	04/29/2012	836	2012
135916	40940	Halsted/63rd	05/04/2012	845	2012
135918	41040	Kedzie-Cermak	02/19/2012	477	2012
135919	40330	Grand/State	03/16/2012	12627	2012
135930	41120	35-Bronzeville-IIT	04/23/2012	2331	2012
135946	40780	Central Park	06/29/2012	1204	2012
135968	41000	Cermak-Chinatown	06/04/2012	4574	2012
135971	40290	Ashland/63rd	08/02/2012	1633	2012
135974	40380	Clark/Lake	12/14/2012	19023	2012
135991	41420	Addison-North Main	11/07/2012	6907	2012
135998	41280	Jefferson Park	09/02/2012	3436	2012
136000	41330	Montrose-O'Hare	05/30/2012	2415	2012
136014	40780	Central Park	09/26/2012	1421	2012
136050	41350	Oak Park-Lake	04/13/2012	1647	2012
136063	40970	Cicero-Forest Park	09/01/2012	1008	2012
136080	40690	Dempster	03/01/2012	867	2012
136111	40680	Adams/Wabash	12/19/2012	6182	2012
136125	40460	Merchandise Mart	05/22/2012	6721	2012
136143	41030	Polk	05/30/2012	3166	2012
136163	40530	Diversey	08/28/2012	5506	2012
136172	41160	Clinton-Lake	12/29/2012	1133	2012
136180	40540	Wilson	08/17/2012	5759	2012
136181	40940	Halsted/63rd	02/08/2012	1039	2012
136203	41120	35-Bronzeville-IIT	12/27/2012	1106	2012
136229	41230	47th-Dan Ryan	07/17/2012	2928	2012
136243	40780	Central Park	04/15/2012	469	2012
136285	40330	Grand/State	10/13/2012	10942	2012
136327	41140	King Drive	06/21/2012	604	2012
136337	40440	California-Cermak	12/15/2012	837	2012
136343	40170	Ashland-Lake	01/16/2012	1494	2012
136358	40450	95th/Dan Ryan	10/19/2012	13325	2012
136378	41300	Loyola	01/03/2012	3734	2012
136406	40120	35th/Archer	07/30/2012	2862	2012
136417	40770	Lawrence	01/26/2012	3379	2012
136434	40450	95th/Dan Ryan	02/13/2012	10776	2012
