	station_id	stationname	date	rides	y
12509	40340	Berwyn	05/21/2009	3287	2009
135352	40450	95th/Dan Ryan	04/26/2009	5533	2009
135362	40510	Garfield-South Elevated	04/30/2009	1336	2009
135383	41040	Kedzie-Cermak	04/29/2009	853	2009
135385	40600	Kostner	06/10/2009	443	2009
135387	41500	Montrose-Brown	07/19/2009	1032	2009
135397	41010	Rockwell	07/12/2009	623	2009
135416	41300	Loyola	03/11/2009	5538	2009
135435	41360	California-Lake	08/13/2009	1076	2009
135442	40250	Kedzie-Homan-Forest Park	07/28/2009	1801	2009
135456	40080	Sheridan	05/29/2009	5601	2009
135458	40550	Irving Park-O'Hare	01/14/2009	4122	2009
135499	40400	Noyes	12/19/2009	245	2009
135537	40770	Lawrence	06/04/2009	3233	2009
135583	40640	Madison/Wabash	06/26/2009	7362	2009
135584	41200	Argyle	08/02/2009	1879	2009
135587	40370	Washington/Dearborn	07/15/2009	7474	2009
135588	40840	South Boulevard	09/15/2009	760	2009
135592	40900	Howard	10/26/2009	6045	2009
135596	40610	Ridgeland	12/09/2009	1357	2009
135639	40310	Western-Orange	08/04/2009	3324	2009
135649	40430	Clinton-Forest Park	06/01/2009	2654	2009
135666	41320	Belmont-North Main	06/19/2009	12249	2009
135676	41140	King Drive	02/19/2009	529	2009
135685	41460	Irving Park-Brown	12/23/2009	1766	2009
135697	40160	LaSalle/Van Buren	05/28/2009	3059	2009
135707	41220	Fullerton	07/07/2009	9965	2009
135710	40810	Medical Center	03/30/2009	2765	2009
135712	40780	Central Park	11/11/2009	979	2009
135716	40400	Noyes	12/14/2009	577	2009
135735	40820	Rosemont	04/04/2009	2004	2009
135754	40780	Central Park	10/17/2009	636	2009
135805	41290	Kimball	01/04/2009	1297	2009
135810	41460	Irving Park-Brown	02/14/2009	1135	2009
135819	40520	Foster	06/03/2009	775	2009
135834	41440	Addison-Brown	11/05/2009	2456	2009
135854	40150	Pulaski-Cermak	12/07/2009	1114	2009
135861	40700	Laramie	05/18/2009	1375	2009
135865	40550	Irving Park-O'Hare	07/01/2009	4132	2009
135875	41250	Central-Evanston	02/17/2009	834	2009
135883	40390	Forest Park	08/13/2009	3969	2009
135929	41400	Roosevelt	09/04/2009	10506	2009
135932	40390	Forest Park	02/12/2009	3717	2009
135956	41260	Austin-Lake	07/14/2009	2163	2009
135964	41130	Halsted-Orange	01/14/2009	2369	2009
135970	40040	Quincy/Wells	02/25/2009	7284	2009
135975	41290	Kimball	06/10/2009	3784	2009
135983	40090	Damen-Brown	03/02/2009	1511	2009
135985	40530	Diversey	05/25/2009	1672	2009
135996	41170	Garfield-Dan Ryan	05/18/2009	4071	2009
136003	41090	Monroe/State	01/29/2009	9477	2009
136017	41280	Jefferson Park	01/11/2009	2025	2009
136064	41480	Western-Brown	05/26/2009	3492	2009
136085	41310	Paulina	11/30/2009	2216	2009
136090	40200	Randolph/Wabash	12/23/2009	5990	2009
136099	40190	Sox-35th-Dan Ryan	08/23/2009	5837	2009
136110	41360	California-Lake	04/06/2009	923	2009
136119	41400	Roosevelt	10/06/2009	10020	2009
136149	41190	Jarvis	12/18/2009	1470	2009
136162	40060	Belmont-O'Hare	11/02/2009	4588	2009
136165	40880	Thorndale	04/15/2009	2928	2009
136191	40030	Pulaski-Lake	02/12/2009	1571	2009
136199	41430	87th	05/04/2009	5115	2009
136210	40800	Sedgwick	06/07/2009	1474	2009
136223	40840	South Boulevard	04/15/2009	796	2009
136247	41170	Garfield-Dan Ryan	08/11/2009	3932	2009
136256	40080	Sheridan	08/08/2009	4209	2009
136266	41060	Ashland-Orange	01/19/2009	899	2009
136275	41010	Rockwell	05/16/2009	948	2009
136296	40210	Damen-Cermak	04/14/2009	1231	2009
136301	41230	47th-Dan Ryan	06/07/2009	1711	2009
136355	41150	Kedzie-Midway	09/15/2009	3437	2009
136366	40570	California/Milwaukee	01/17/2009	1793	2009
136368	41480	Western-Brown	10/04/2009	1854	2009
136380	41200	Argyle	08/24/2009	2639	2009
136381	40350	UIC-Halsted	01/27/2009	6041	2009
136384	40790	Monroe/Dearborn	03/09/2009	5803	2009
136403	41070	Kedzie-Lake	06/19/2009	1074	2009
136422	40300	Indiana	12/17/2009	882	2009
136424	40580	54th/Cermak	06/25/2009	2134	2009
136432	41220	Fullerton	05/31/2009	6815	2009
136451	41440	Addison-Brown	05/09/2009	1135	2009
136466	41130	Halsted-Orange	04/30/2009	2605	2009
136468	40840	South Boulevard	12/03/2009	807	2009
136490	41380	Bryn Mawr	03/03/2009	4589	2009
136531	40880	Thorndale	11/08/2009	1403	2009
136569	40170	Ashland-Lake	09/05/2009	1258	2009
136570	40180	Oak Park-Forest Park	12/11/2009	1472	2009
136595	41000	Cermak-Chinatown	08/16/2009	2968	2009
136611	41490	Harrison	11/16/2009	4238	2009
136639	40010	Austin-Forest Park	11/20/2009	1937	2009
136656	41250	Central-Evanston	03/06/2009	754	2009
136718	40580	54th/Cermak	11/08/2009	793	2009
136732	40550	Irving Park-O'Hare	11/02/2009	3972	2009
136740	40190	Sox-35th-Dan Ryan	06/20/2009	2787	2009
136771	40360	Southport	12/05/2009	1826	2009
136772	41000	Cermak-Chinatown	12/15/2009	2867	2009
136774	41200	Argyle	05/28/2009	2559	2009
136786	41000	Cermak-Chinatown	06/02/2009	3326	2009
136804	40880	Thorndale	10/11/2009	1688	2009
136809	41280	Jefferson Park	05/07/2009	6286	2009
136810	41080	47th-South Elevated	04/25/2009	847	2009
136837	41050	Linden	09/22/2009	938	2009
136843	40960	Pulaski-Orange	03/27/2009	4053	2009
136846	40900	Howard	05/12/2009	6207	2009
136847	41140	King Drive	06/17/2009	578	2009
136929	41220	Fullerton	11/13/2009	12752	2009
137014	40090	Damen-Brown	02/27/2009	1626	2009
137096	40590	Damen/Milwaukee	07/04/2009	2544	2009
137110	41670	Conservatory	11/17/2009	904	2009
137121	40250	Kedzie-Homan-Forest Park	06/06/2009	1042	2009
137126	40580	54th/Cermak	05/15/2009	1740	2009
137128	40250	Kedzie-Homan-Forest Park	03/07/2009	915	2009
137141	40530	Diversey	05/26/2009	5412	2009
137176	41230	47th-Dan Ryan	03/15/2009	1685	2009
137190	40190	Sox-35th-Dan Ryan	06/18/2009	3985	2009
137197	40670	Western/Milwaukee	10/30/2009	4564	2009
137212	41400	Roosevelt	04/05/2009	5061	2009
137219	40230	Cumberland	06/26/2009	5514	2009
137229	41070	Kedzie-Lake	12/30/2009	1130	2009
137246	41050	Linden	09/20/2009	358	2009
137294	41310	Paulina	09/07/2009	839	2009
137313	40270	Main	10/13/2009	1262	2009
137340	41230	47th-Dan Ryan	03/31/2009	3068	2009
137365	40540	Wilson	10/19/2009	6703	2009
137379	40190	Sox-35th-Dan Ryan	07/31/2009	11190	2009
137392	41250	Central-Evanston	01/09/2009	976	2009
137402	40550	Irving Park-O'Hare	07/29/2009	3903	2009
137491	40670	Western/Milwaukee	03/09/2009	4241	2009
137492	40180	Oak Park-Forest Park	02/13/2009	1660	2009
137503	41140	King Drive	04/13/2009	465	2009
137508	40850	Library	01/07/2009	3814	2009
137537	40520	Foster	03/01/2009	301	2009
137544	40660	Armitage	06/26/2009	3619	2009
137552	41440	Addison-Brown	06/17/2009	2213	2009
137583	41120	35-Bronzeville-IIT	07/05/2009	1046	2009
137589	41080	47th-South Elevated	07/31/2009	1518	2009
137608	40140	Skokie	08/02/2009	874	2009
137619	41380	Bryn Mawr	02/11/2009	4484	2009
137645	41250	Central-Evanston	12/24/2009	417	2009
137650	40420	Cicero-Cermak	09/14/2009	1128	2009
