	station_id	stationname	date	rides	y
0	41280	Jefferson Park	12/22/2017	6104	2017
1	41000	Cermak-Chinatown	12/18/2017	3636	2017
2	40280	Central-Lake	12/02/2017	1270	2017
3	40140	Dempster-Skokie	12/19/2017	1759	2017
4	40690	Dempster	12/03/2017	499	2017
5	41660	Lake/State	12/30/2017	8615	2017
6	40180	Oak Park-Forest Park	12/17/2017	442	2017
7	40250	Kedzie-Homan-Forest Park	12/02/2017	1353	2017
8	40120	35th/Archer	12/07/2017	3353	2017
9	41420	Addison-North Main	12/19/2017	6034	2017
10	40270	Main	12/16/2017	887	2017
11	41450	Chicago/State	12/27/2017	9639	2017
12	41210	Wellington	12/07/2017	3210	2017
13	40010	Austin-Forest Park	12/03/2017	641	2017
14	41160	Clinton-Lake	12/31/2017	621	2017
15	40720	East 63rd-Cottage Grove	12/26/2017	613	2017
16	40330	Grand/State	12/21/2017	10683	2017
17	40540	Wilson	12/22/2017	4861	2017
18	40420	Cicero-Cermak	12/02/2017	932	2017
19	40260	State/Lake	12/06/2017	12646	2017
20	40130	51st	12/04/2017	1049	2017
21	40450	95th/Dan Ryan	12/04/2017	10611	2017
22	40560	Jackson/State	12/04/2017	8365	2017
23	40200	Randolph/Wabash	12/25/2017	0	2017
24	40690	Dempster	12/24/2017	326	2017
25	41020	Logan Square	12/18/2017	7095	2017
26	40100	Morse	12/31/2017	2486	2017
27	40490	Grand/Milwaukee	12/19/2017	2583	2017
28	40990	69th	12/31/2017	2437	2017
29	41310	Paulina	12/10/2017	1001	2017
30	41450	Chicago/State	12/14/2017	14262	2017
31	40090	Damen-Brown	12/18/2017	2813	2017
32	40370	Washington/Dearborn	12/23/2017	6744	2017
33	41290	Kimball	12/31/2017	1458	2017
34	40010	Austin-Forest Park	12/28/2017	1155	2017
35	40380	Clark/Lake	12/20/2017	20358	2017
36	40090	Damen-Brown	12/14/2017	3005	2017
37	40770	Lawrence	12/21/2017	2958	2017
38	41030	Polk	12/23/2017	510	2017
39	40720	East 63rd-Cottage Grove	12/27/2017	708	2017
40	41230	47th-Dan Ryan	12/13/2017	2889	2017
41	40800	Sedgwick	12/11/2017	3825	2017
42	40580	54th/Cermak	12/20/2017	2088	2017
43	40290	Ashland/63rd	12/06/2017	1177	2017
44	41510	Morgan-Lake	12/22/2017	2425	2017
45	41490	Harrison	12/30/2017	1627	2017
