	station_id	stationname	date	rides	y
135318	40540	Wilson	10/25/2010	7317	2010
135347	41090	Monroe/State	10/27/2010	9715	2010
135351	40920	Pulaski-Forest Park	07/10/2010	1448	2010
135358	41290	Kimball	12/29/2010	3093	2010
135378	40230	Cumberland	02/05/2010	3996	2010
135391	40880	Thorndale	12/26/2010	1036	2010
135393	40030	Pulaski-Lake	11/26/2010	1197	2010
135408	41030	Polk	07/03/2010	865	2010
135452	40780	Central Park	06/18/2010	1154	2010
135455	41090	Monroe/State	07/07/2010	9431	2010
135488	40960	Pulaski-Orange	01/05/2010	4382	2010
135536	40960	Pulaski-Orange	01/11/2010	4497	2010
135542	41090	Monroe/State	01/26/2010	8926	2010
135545	40130	51st	10/27/2010	1240	2010
135603	41330	Montrose-O'Hare	03/03/2010	1999	2010
135610	40740	Western-Cermak	12/16/2010	983	2010
135613	41330	Montrose-O'Hare	06/18/2010	1932	2010
135644	40670	Western/Milwaukee	06/07/2010	4507	2010
135727	41400	Roosevelt	04/30/2010	11034	2010
135733	40160	LaSalle/Van Buren	06/22/2010	3001	2010
135748	41230	47th-Dan Ryan	12/23/2010	2703	2010
135767	41360	California-Lake	06/06/2010	516	2010
135770	40440	California-Cermak	06/03/2010	1227	2010
135776	40830	18th	05/03/2010	1522	2010
135780	41310	Paulina	04/21/2010	2336	2010
135818	41360	California-Lake	08/25/2010	1274	2010
135828	40360	Southport	02/10/2010	3063	2010
135870	40470	Racine	11/24/2010	2449	2010
135879	41340	LaSalle	03/03/2010	2992	2010
135892	40850	Library	06/30/2010	4693	2010
135893	40730	Washington/Wells	07/03/2010	1059	2010
135904	40990	69th	12/27/2010	4497	2010
135906	40490	Grand/Milwaukee	06/14/2010	1989	2010
135907	40190	Sox-35th-Dan Ryan	03/22/2010	4111	2010
135934	40340	Berwyn	03/20/2010	2288	2010
135939	40810	Medical Center	08/19/2010	3064	2010
136001	40490	Grand/Milwaukee	11/03/2010	2120	2010
136025	41400	Roosevelt	04/01/2010	10272	2010
136037	41450	Chicago/State	09/30/2010	15686	2010
136102	40180	Oak Park-Forest Park	04/01/2010	1805	2010
136144	41210	Wellington	07/25/2010	812	2010
136150	41290	Kimball	09/08/2010	4172	2010
136154	41180	Kedzie-Brown	10/08/2010	2179	2010
136198	40100	Morse	11/23/2010	4342	2010
136208	40200	Randolph/Wabash	08/25/2010	7979	2010
136240	40470	Racine	09/04/2010	1152	2010
