	station_id	stationname	date	rides	y
135314	40700	Laramie	11/02/2016	1275	2016
135368	40310	Western-Orange	01/21/2016	3929	2016
135380	40800	Sedgwick	04/26/2016	3967	2016
135381	40390	Forest Park	06/04/2016	1887	2016
135398	41440	Addison-Brown	07/12/2016	2364	2016
135414	41080	47th-South Elevated	04/26/2016	1253	2016
135415	40580	54th/Cermak	02/03/2016	2209	2016
135425	40090	Damen-Brown	05/08/2016	1098	2016
135428	40510	Garfield-South Elevated	09/06/2016	1328	2016
135432	40340	Berwyn	11/29/2016	3596	2016
135439	40230	Cumberland	09/21/2016	5248	2016
135475	40150	Pulaski-Cermak	08/18/2016	1115	2016
135487	40130	51st	05/06/2016	1168	2016
135491	40170	Ashland-Lake	11/24/2016	573	2016
135492	40240	79th	12/06/2016	7527	2016
135502	40750	Harlem-O'Hare	10/18/2016	3256	2016
135506	40170	Ashland-Lake	11/09/2016	2615	2016
135517	41180	Kedzie-Brown	01/17/2016	790	2016
135527	40640	Madison/Wabash	03/12/2016	0	2016
135539	40420	Cicero-Cermak	08/15/2016	1250	2016
135548	41160	Clinton-Lake	06/07/2016	4465	2016
135561	41460	Irving Park-Brown	06/01/2016	3501	2016
135595	40510	Garfield-South Elevated	06/29/2016	1316	2016
135631	40370	Washington/Dearborn	06/26/2016	6364	2016
135646	41140	King Drive	07/12/2016	667	2016
135651	40350	UIC-Halsted	02/05/2016	7352	2016
135660	41410	Chicago/Milwaukee	04/23/2016	1968	2016
135673	41420	Addison-North Main	04/11/2016	15232	2016
135694	40630	Clark/Division	10/25/2016	8526	2016
135704	41680	Oakton-Skokie	08/09/2016	1010	2016
135749	41420	Addison-North Main	02/21/2016	3808	2016
135755	40580	54th/Cermak	09/10/2016	1234	2016
135765	41010	Rockwell	04/03/2016	769	2016
135777	41400	Roosevelt	04/16/2016	10566	2016
135778	41120	35-Bronzeville-IIT	06/13/2016	1690	2016
135789	40930	Midway Airport	05/12/2016	9532	2016
135814	41400	Roosevelt	04/12/2016	10895	2016
135850	40790	Monroe/Dearborn	01/27/2016	7706	2016
135868	41180	Kedzie-Brown	01/11/2016	1741	2016
135890	40790	Monroe/Dearborn	08/21/2016	2355	2016
135941	40260	State/Lake	05/05/2016	11192	2016
135954	40240	79th	03/17/2016	7405	2016
135965	41450	Chicago/State	03/28/2016	13939	2016
135969	40100	Morse	11/06/2016	3278	2016
135973	40270	Main	03/10/2016	1203	2016
136022	40770	Lawrence	12/29/2016	2932	2016
136045	40050	Davis	01/01/2016	1415	2016
136087	40970	Cicero-Forest Park	02/11/2016	1434	2016
136093	40090	Damen-Brown	12/02/2016	3187	2016
136095	40330	Grand/State	12/31/2016	9012	2016
136121	41120	35-Bronzeville-IIT	07/29/2016	1792	2016
136133	40370	Washington/Dearborn	03/13/2016	3899	2016
136139	40310	Western-Orange	09/14/2016	4320	2016
136145	40790	Monroe/Dearborn	02/29/2016	7691	2016
136147	40760	Granville	11/05/2016	4077	2016
136160	40270	Main	08/18/2016	1275	2016
136169	41430	87th	11/14/2016	4331	2016
136187	41190	Jarvis	09/10/2016	1304	2016
136193	41070	Kedzie-Lake	05/03/2016	1728	2016
136211	40920	Pulaski-Forest Park	12/28/2016	1492	2016
136224	40090	Damen-Brown	02/29/2016	2864	2016
136257	40250	Kedzie-Homan-Forest Park	09/01/2016	2405	2016
136313	40530	Diversey	12/13/2016	5475	2016
136323	40060	Belmont-O'Hare	10/02/2016	2636	2016
136331	40660	Armitage	02/04/2016	4673	2016
136383	41660	Lake/State	12/04/2016	9726	2016
136398	40310	Western-Orange	12/11/2016	1257	2016
136439	41300	Loyola	01/14/2016	4652	2016
136455	40100	Morse	01/15/2016	4976	2016
136487	40960	Pulaski-Orange	01/02/2016	1853	2016
136500	40560	Jackson/State	06/18/2016	7222	2016
136525	40640	Madison/Wabash	09/04/2016	0	2016
136526	41150	Kedzie-Midway	05/11/2016	3647	2016
136532	41300	Loyola	08/28/2016	3599	2016
136542	40270	Main	10/24/2016	1231	2016
