	station_id	stationname	date	rides	y
135315	40470	Racine	11/29/2015	670	2015
135331	40550	Irving Park-O'Hare	07/27/2015	4649	2015
135332	40890	O'Hare Airport	01/01/2015	7403	2015
135349	40600	Kostner	10/05/2015	590	2015
135354	40580	54th/Cermak	07/09/2015	2763	2015
135365	40530	Diversey	05/09/2015	2848	2015
135461	41490	Harrison	05/20/2015	3876	2015
135471	40390	Forest Park	10/23/2015	3854	2015
135551	40690	Dempster	10/12/2015	873	2015
135554	40390	Forest Park	04/27/2015	3857	2015
135572	41250	Central-Evanston	06/10/2015	839	2015
135634	40820	Rosemont	10/21/2015	7456	2015
135643	41130	Halsted-Orange	09/16/2015	3329	2015
135690	41180	Kedzie-Brown	12/10/2015	2109	2015
135729	41440	Addison-Brown	02/03/2015	2982	2015
135730	40750	Harlem-O'Hare	03/28/2015	1361	2015
135741	40370	Washington/Dearborn	03/16/2015	11982	2015
135753	40350	UIC-Halsted	07/28/2015	3762	2015
135756	41460	Irving Park-Brown	03/07/2015	1694	2015
135757	40250	Kedzie-Homan-Forest Park	10/26/2015	2520	2015
135784	40720	East 63rd-Cottage Grove	11/05/2015	1473	2015
135785	40800	Sedgwick	07/13/2015	3820	2015
135811	40370	Washington/Dearborn	01/18/2015	2771	2015
135824	41380	Bryn Mawr	05/28/2015	5142	2015
135869	40720	East 63rd-Cottage Grove	02/16/2015	873	2015
135887	40200	Randolph/Wabash	07/02/2015	11840	2015
135960	40240	79th	07/20/2015	7679	2015
135966	41150	Kedzie-Midway	08/31/2015	2831	2015
135976	40060	Belmont-O'Hare	02/12/2015	5427	2015
135981	41440	Addison-Brown	08/04/2015	2278	2015
135986	41690	Cermak-McCormick Place	08/20/2015	1309	2015
136023	40470	Racine	01/27/2015	2787	2015
136046	40090	Damen-Brown	09/03/2015	2917	2015
136059	40480	Cicero-Lake	05/19/2015	1564	2015
136077	40070	Jackson/Dearborn	06/09/2015	8321	2015
136104	41670	Conservatory	06/27/2015	771	2015
136118	40750	Harlem-O'Hare	09/14/2015	3332	2015
136123	40360	Southport	04/25/2015	1836	2015
136167	40320	Division/Milwaukee	07/07/2015	6386	2015
136201	40900	Howard	06/25/2015	7895	2015
136235	40040	Quincy/Wells	09/24/2015	8193	2015
136241	40960	Pulaski-Orange	03/19/2015	5730	2015
136284	41180	Kedzie-Brown	11/18/2015	2116	2015
136286	40140	Dempster-Skokie	01/09/2015	1620	2015
136326	40750	Harlem-O'Hare	12/04/2015	3365	2015
136339	40220	Western-Forest Park	01/10/2015	839	2015
136342	40970	Cicero-Forest Park	04/23/2015	1524	2015
136349	41480	Western-Brown	11/28/2015	2312	2015
136357	40510	Garfield-South Elevated	09/14/2015	1575	2015
136361	40300	Indiana	09/02/2015	1044	2015
136362	40210	Damen-Cermak	03/02/2015	1548	2015
