	station_id	stationname	date	rides	y
135316	40100	Morse	08/26/2014	5185	2014
135319	40400	Noyes	09/21/2014	432	2014
135338	40840	South Boulevard	08/21/2014	787	2014
135344	41080	47th-South Elevated	04/07/2014	1351	2014
135360	40390	Forest Park	12/31/2014	3255	2014
135375	41240	Addison-O'Hare	01/01/2014	928	2014
135376	41680	Oakton-Skokie	07/25/2014	1060	2014
135379	41350	Oak Park-Lake	01/09/2014	1596	2014
135396	41200	Argyle	03/31/2014	3229	2014
135400	40600	Kostner	07/02/2014	539	2014
135410	40660	Armitage	08/25/2014	3519	2014
135419	40940	Halsted/63rd	12/12/2014	771	2014
135446	40050	Davis	01/15/2014	3934	2014
135462	40920	Pulaski-Forest Park	10/13/2014	1793	2014
135469	41240	Addison-O'Hare	09/02/2014	3038	2014
135511	40440	California-Cermak	10/10/2014	1612	2014
135519	41040	Kedzie-Cermak	11/10/2014	1220	2014
135544	40280	Central-Lake	03/31/2014	2357	2014
135553	40890	O'Hare Airport	01/10/2014	8177	2014
135559	41200	Argyle	05/05/2014	3204	2014
135564	40730	Washington/Wells	11/23/2014	1041	2014
135601	41260	Austin-Lake	07/07/2014	2110	2014
135616	41210	Wellington	08/16/2014	1536	2014
135623	40760	Granville	06/19/2014	4112	2014
135624	41330	Montrose-O'Hare	02/23/2014	838	2014
135648	41350	Oak Park-Lake	06/07/2014	1016	2014
135652	40660	Armitage	04/15/2014	3861	2014
135658	41500	Montrose-Brown	02/09/2014	1121	2014
135672	41220	Fullerton	09/02/2014	10863	2014
135688	41380	Bryn Mawr	07/31/2014	5004	2014
135695	41080	47th-South Elevated	05/29/2014	1499	2014
135706	40790	Monroe/Dearborn	10/21/2014	7945	2014
135726	40010	Austin-Forest Park	03/03/2014	1853	2014
135736	40010	Austin-Forest Park	06/14/2014	1259	2014
135793	41680	Oakton-Skokie	11/20/2014	1039	2014
135798	40220	Western-Forest Park	07/09/2014	1686	2014
135800	40520	Foster	03/07/2014	986	2014
135809	40760	Granville	07/18/2014	4532	2014
135884	40780	Central Park	12/04/2014	1453	2014
135889	40050	Davis	08/15/2014	4083	2014
135927	40930	Midway Airport	03/18/2014	8845	2014
135980	40750	Harlem-O'Hare	02/20/2014	3108	2014
136039	41170	Garfield-Dan Ryan	04/14/2014	3062	2014
136049	40660	Armitage	11/17/2014	4486	2014
136051	41020	Logan Square	09/10/2014	8353	2014
136067	40920	Pulaski-Forest Park	04/15/2014	1606	2014
136075	41250	Central-Evanston	06/06/2014	877	2014
136081	40800	Sedgwick	07/25/2014	4444	2014
136094	40380	Clark/Lake	06/20/2014	19702	2014
136113	40470	Racine	01/11/2014	1252	2014
136114	41300	Loyola	06/30/2014	4578	2014
136135	41400	Roosevelt	04/18/2014	12277	2014
136153	40270	Main	09/30/2014	1321	2014
136189	40240	79th	03/10/2014	7499	2014
136207	41440	Addison-Brown	02/06/2014	2678	2014
136222	40300	Indiana	06/07/2014	544	2014
136227	40270	Main	08/27/2014	1237	2014
136246	40550	Irving Park-O'Hare	10/02/2014	4828	2014
136260	40450	95th/Dan Ryan	07/07/2014	11154	2014
136269	40080	Sheridan	07/20/2014	3488	2014
136315	41210	Wellington	11/16/2014	928	2014
136324	41500	Montrose-Brown	10/25/2014	1707	2014
136333	40650	North/Clybourn	05/29/2014	6061	2014
136369	41340	LaSalle	07/23/2014	2838	2014
136402	40290	Ashland/63rd	01/28/2014	892	2014
136414	40660	Armitage	05/31/2014	2732	2014
136423	40740	Western-Cermak	12/25/2014	333	2014
136428	41160	Clinton-Lake	04/27/2014	1087	2014
136448	40390	Forest Park	09/09/2014	4333	2014
136484	40360	Southport	05/28/2014	3376	2014
136496	41380	Bryn Mawr	12/24/2014	2892	2014
136498	40380	Clark/Lake	09/14/2014	5744	2014
136509	41130	Halsted-Orange	05/16/2014	2965	2014
136536	40170	Ashland-Lake	11/27/2014	644	2014
136544	41150	Kedzie-Midway	03/19/2014	3631	2014
136548	41440	Addison-Brown	11/27/2014	352	2014
136558	40140	Dempster-Skokie	12/08/2014	2113	2014
136563	40430	Clinton-Forest Park	04/11/2014	3703	2014
136701	40820	Rosemont	08/08/2014	7501	2014
136727	41480	Western-Brown	04/22/2014	4329	2014
136731	40100	Morse	06/22/2014	3467	2014
136733	40350	UIC-Halsted	06/08/2014	1374	2014
136737	41410	Chicago/Milwaukee	10/30/2014	4663	2014
136744	40100	Morse	09/12/2014	5451	2014
136751	40550	Irving Park-O'Hare	11/25/2014	4814	2014
136752	40050	Davis	03/04/2014	3843	2014
136763	40020	Harlem-Lake	04/08/2014	4163	2014
136769	40090	Damen-Brown	02/05/2014	2958	2014
136785	40730	Washington/Wells	03/23/2014	994	2014
136813	40320	Division/Milwaukee	09/05/2014	6366	2014
136830	41510	Morgan-Lake	08/08/2014	2342	2014
136842	41430	87th	03/11/2014	4369	2014
136851	40550	Irving Park-O'Hare	06/07/2014	2482	2014
136866	41450	Chicago/State	12/18/2014	15452	2014
136889	40970	Cicero-Forest Park	05/03/2014	1071	2014
136912	40510	Garfield-South Elevated	03/09/2014	696	2014
136947	40680	Adams/Wabash	08/29/2014	6853	2014
137001	41130	Halsted-Orange	01/24/2014	2607	2014
137012	40690	Dempster	11/11/2014	823	2014
137035	40080	Sheridan	05/31/2014	4346	2014
137040	40470	Racine	02/02/2014	947	2014
137061	40300	Indiana	08/09/2014	979	2014
137095	41250	Central-Evanston	03/02/2014	213	2014
137167	40660	Armitage	11/27/2014	495	2014
137175	40770	Lawrence	01/05/2014	868	2014
137186	40880	Thorndale	03/02/2014	1488	2014
137199	41510	Morgan-Lake	01/23/2014	2075	2014
137232	40990	69th	11/17/2014	5720	2014
137259	40460	Merchandise Mart	11/04/2014	8102	2014
137288	40240	79th	05/05/2014	7457	2014
137304	41150	Kedzie-Midway	05/04/2014	1161	2014
137306	40320	Division/Milwaukee	06/15/2014	2992	2014
137335	41490	Harrison	07/24/2014	2975	2014
137338	40890	O'Hare Airport	01/14/2014	7995	2014
137348	41290	Kimball	06/05/2014	4312	2014
137358	40300	Indiana	04/22/2014	915	2014
137359	41080	47th-South Elevated	04/11/2014	1529	2014
137378	40630	Clark/Division	03/20/2014	8211	2014
137404	40700	Laramie	10/13/2014	1271	2014
137422	40610	Ridgeland	10/28/2014	1418	2014
137470	41260	Austin-Lake	10/03/2014	2281	2014
137494	40100	Morse	12/07/2014	3131	2014
137502	41490	Harrison	10/29/2014	5245	2014
137510	40980	Harlem-Forest Park	05/07/2014	1223	2014
137514	40160	LaSalle/Van Buren	05/31/2014	565	2014
137515	41040	Kedzie-Cermak	02/03/2014	1040	2014
137523	41460	Irving Park-Brown	01/20/2014	2306	2014
137542	40480	Cicero-Lake	06/24/2014	1488	2014
137571	40690	Dempster	03/03/2014	816	2014
137578	40910	63rd-Dan Ryan	05/01/2014	3740	2014
137598	40650	North/Clybourn	03/22/2014	4573	2014
137599	40130	51st	02/02/2014	547	2014
137617	40580	54th/Cermak	12/23/2014	2116	2014
137620	40990	69th	06/18/2014	4815	2014
137643	40830	18th	12/15/2014	1835	2014
137675	41260	Austin-Lake	12/27/2014	1098	2014
137684	40640	Madison/Wabash	06/08/2014	2871	2014
137711	40730	Washington/Wells	10/03/2014	7375	2014
137729	40980	Harlem-Forest Park	07/06/2014	524	2014
137733	40730	Washington/Wells	10/17/2014	7662	2014
137741	40460	Merchandise Mart	07/10/2014	7342	2014
137744	40240	79th	12/26/2014	5928	2014
137786	40460	Merchandise Mart	05/13/2014	7897	2014
137789	40360	Southport	10/09/2014	3666	2014
137790	40830	18th	11/14/2014	2208	2014
137797	41060	Ashland-Orange	09/14/2014	759	2014
