	station_id	stationname	date	rides	y
135317	40400	Noyes	02/05/2011	503	2011
135322	40100	Morse	10/29/2011	4031	2011
135357	40220	Western-Forest Park	01/07/2011	1512	2011
135363	40060	Belmont-O'Hare	09/29/2011	5269	2011
135370	40520	Foster	04/01/2011	1055	2011
135377	40740	Western-Cermak	04/07/2011	1056	2011
135399	40280	Central-Lake	08/11/2011	2351	2011
135402	40570	California/Milwaukee	01/16/2011	1599	2011
135422	40520	Foster	10/10/2011	859	2011
135460	40200	Randolph/Wabash	05/18/2011	7093	2011
135468	40670	Western/Milwaukee	10/18/2011	4770	2011
135476	41220	Fullerton	08/26/2011	10619	2011
135480	40160	LaSalle/Van Buren	03/11/2011	2915	2011
135498	40070	Jackson/Dearborn	05/20/2011	7096	2011
135505	41500	Montrose-Brown	08/18/2011	2477	2011
135523	41300	Loyola	06/01/2011	5065	2011
135526	40700	Laramie	10/05/2011	1532	2011
135586	40890	O'Hare Airport	06/24/2011	11815	2011
135590	41050	Linden	06/15/2011	1430	2011
135594	40530	Diversey	04/09/2011	3365	2011
135599	41320	Belmont-North Main	07/03/2011	10315	2011
135614	41420	Addison-North Main	03/16/2011	6994	2011
135618	41070	Kedzie-Lake	09/09/2011	1708	2011
135619	41250	Central-Evanston	09/24/2011	320	2011
135636	40740	Western-Cermak	07/02/2011	747	2011
135663	40960	Pulaski-Orange	12/25/2011	601	2011
135682	40030	Pulaski-Lake	03/30/2011	2045	2011
135684	41250	Central-Evanston	07/17/2011	330	2011
135687	40710	Chicago/Franklin	03/29/2011	6052	2011
135703	40210	Damen-Cermak	07/23/2011	796	2011
135723	40300	Indiana	02/04/2011	700	2011
135725	41270	43rd	04/22/2011	758	2011
135728	40710	Chicago/Franklin	11/13/2011	2002	2011
135769	41080	47th-South Elevated	06/20/2011	1116	2011
135787	40120	35th/Archer	05/24/2011	2835	2011
135791	40810	Medical Center	04/11/2011	3541	2011
135808	41660	Lake/State	01/08/2011	8630	2011
135820	40400	Noyes	08/12/2011	692	2011
135839	41260	Austin-Lake	05/18/2011	1977	2011
135840	41080	47th-South Elevated	09/21/2011	1450	2011
135849	40680	Adams/Wabash	07/04/2011	3036	2011
135891	40290	Ashland/63rd	10/11/2011	1629	2011
135894	41290	Kimball	01/03/2011	3378	2011
135908	41150	Kedzie-Midway	06/29/2011	3453	2011
135928	40080	Sheridan	06/21/2011	5103	2011
135937	41380	Bryn Mawr	04/29/2011	5122	2011
135947	40520	Foster	06/18/2011	578	2011
135949	40210	Damen-Cermak	05/06/2011	1384	2011
135951	40320	Division/Milwaukee	02/04/2011	6625	2011
135952	40230	Cumberland	09/22/2011	4798	2011
135978	40010	Austin-Forest Park	02/07/2011	1934	2011
135995	40020	Harlem-Lake	07/16/2011	2698	2011
136054	40940	Halsted/63rd	06/26/2011	475	2011
136057	40380	Clark/Lake	07/17/2011	6174	2011
136061	41030	Polk	04/03/2011	528	2011
136088	40570	California/Milwaukee	02/15/2011	4302	2011
136097	40810	Medical Center	11/18/2011	3408	2011
136105	41240	Addison-O'Hare	05/14/2011	1357	2011
136148	41030	Polk	11/23/2011	2842	2011
136206	41500	Montrose-Brown	10/19/2011	2600	2011
136219	40030	Pulaski-Lake	02/23/2011	2049	2011
136228	41480	Western-Brown	05/01/2011	1833	2011
136263	40870	Francisco	09/12/2011	1412	2011
136267	41480	Western-Brown	10/25/2011	3960	2011
136280	41420	Addison-North Main	12/16/2011	6937	2011
136281	40290	Ashland/63rd	12/21/2011	1420	2011
136308	40450	95th/Dan Ryan	08/01/2011	12405	2011
136329	40130	51st	03/03/2011	1107	2011
136338	41060	Ashland-Orange	09/22/2011	1799	2011
136377	40310	Western-Orange	02/02/2011	752	2011
136379	41060	Ashland-Orange	08/26/2011	1589	2011
136397	41190	Jarvis	03/07/2011	1348	2011
136415	41330	Montrose-O'Hare	10/26/2011	2459	2011
136421	40530	Diversey	08/22/2011	5077	2011
136453	40370	Washington/Dearborn	03/14/2011	8427	2011
136463	40940	Halsted/63rd	08/09/2011	928	2011
136467	41080	47th-South Elevated	01/03/2011	1229	2011
136480	41280	Jefferson Park	07/26/2011	6603	2011
136489	41170	Garfield-Dan Ryan	07/01/2011	4244	2011
136504	40480	Cicero-Lake	06/24/2011	1476	2011
136521	41410	Chicago/Milwaukee	11/07/2011	4000	2011
136523	41300	Loyola	08/16/2011	4325	2011
136524	41330	Montrose-O'Hare	08/02/2011	2074	2011
136571	40800	Sedgwick	11/08/2011	3799	2011
136572	40710	Chicago/Franklin	10/31/2011	6581	2011
136578	40230	Cumberland	03/29/2011	4306	2011
