	station_id	stationname	date	rides	y
13185	40870	Francisco	09/21/2006	0	2006
135324	41340	LaSalle	06/27/2006	2547	2006
135364	40170	Ashland-Lake	06/21/2006	1890	2006
135371	40150	Pulaski-Cermak	02/28/2006	655	2006
135388	40240	79th	09/15/2006	8417	2006
135390	40550	Irving Park-O'Hare	08/23/2006	4191	2006
135411	40930	Midway Airport	09/27/2006	9075	2006
135449	40090	Damen-Brown	10/29/2006	735	2006
135454	40500	Washington/State	10/26/2006	0	2006
135465	41200	Argyle	11/14/2006	2679	2006
135470	40340	Berwyn	06/06/2006	3313	2006
135481	40820	Rosemont	05/04/2006	5641	2006
135494	41480	Western-Brown	02/06/2006	3070	2006
135507	40470	Racine	06/16/2006	2032	2006
135550	41140	King Drive	01/09/2006	635	2006
135552	40430	Clinton-Forest Park	09/03/2006	920	2006
135566	41140	King Drive	10/02/2006	798	2006
135571	40720	East 63rd-Cottage Grove	09/28/2006	1473	2006
135600	40930	Midway Airport	08/23/2006	9057	2006
135627	40570	California/Milwaukee	02/22/2006	3402	2006
135628	41120	35-Bronzeville-IIT	02/17/2006	2377	2006
135657	41480	Western-Brown	04/28/2006	4352	2006
135671	40030	Pulaski-Lake	09/13/2006	1637	2006
135699	41240	Addison-O'Hare	01/10/2006	2530	2006
135743	40890	O'Hare Airport	01/24/2006	7830	2006
135744	40040	Quincy/Wells	04/03/2006	6868	2006
135761	41490	Harrison	10/28/2006	3145	2006
135766	40700	Laramie	10/13/2006	1400	2006
135773	40080	Sheridan	06/07/2006	4747	2006
135815	40720	East 63rd-Cottage Grove	07/16/2006	592	2006
135822	41380	Bryn Mawr	02/02/2006	4656	2006
135867	40420	Cicero-Cermak	02/27/2006	955	2006
135895	41030	Polk	06/03/2006	735	2006
135913	41000	Cermak-Chinatown	02/08/2006	3290	2006
135942	40140	Skokie	04/22/2006	0	2006
135944	40570	California/Milwaukee	04/28/2006	3538	2006
135961	40930	Midway Airport	12/20/2006	7812	2006
135990	41290	Kimball	10/20/2006	0	2006
136019	41310	Paulina	12/13/2006	3288	2006
136036	40940	Halsted/63rd	10/26/2006	454	2006
136052	40790	Monroe/Dearborn	07/26/2006	5711	2006
136076	40810	Medical Center	12/16/2006	882	2006
136109	41070	Kedzie-Lake	09/02/2006	828	2006
